tweet_id,arg_id,message
19,19-0,I'm so
19,19-1,glad this week is over !
19,19-2,can't wait till Sunday !
20,20-0,LOVE IS THE LAW !!!
21,21-0,i just ran a bunch .
21,21-1,it was so fun
22,22-0,"Rest in peace Grannie , you'll forever be loved and"
22,22-1,missed .
23,23-0,Why was the washing machine laughing ? \nBecause it was taking the piss out the underpants .
24,24-0,enjoyed the ANONYMIZED_NAME opening ceremony : colourful and diverse .
24,24-1,and mercifully showcasing india's culture without bollywood !
25,25-0,Is there such a thing as earlobe cancer ?
26,26-0,"The presence of a friend is a coversation itself """""
27,27-0,97% of teens would cry if
27,27-1,they saw Robert Patterson ( Edward Cullen from
27,27-2,"Twilight "" ) standing on"
27,27-3,top of a sky scraper about to jump .
27,27-4,If you're one of
27,27-5,the 3% that would sit there
28,28-0,GOD IS NOT A MAN THAT
28,28-1,HE WOULD LIE .
28,28-2,HIS WORDS MUST COME TO
28,28-3,PASS IN OUR LIFES .
28,28-4,IT IS WELL HALLELUYA !!!
29,29-0,Hawkey team !!!
29,29-1,Anyone want to
29,29-2,"watch the game ,"
29,29-3,please contact me .
29,29-4,I'll join you !!!
30,30-0,ANONYMIZED_NAME is going to
30,30-1,ANONYMIZED_NAME ANONYMIZED_NAME's house 2 c the boy in the striped pajamas .
30,30-2,ANONYMIZED_NAME ANONYMIZED_NAME is coming with !
31,31-0,A little worried- ANONYMIZED_NAME is up in
31,31-1,ANONYMIZED_NAME ANONYMIZED_NAME I keep trying to
31,31-2,call but
31,31-3,have been able to
31,31-4,reach him .
31,31-5,I am currently tracking the weather and
31,31-6,am worried out of my mind .
32,32-0,99 cent beer for happy hour at gyu-kaku is the shit
32,32-1,;-D
33,33-0,I wish they would show the cheerleaders more between
33,33-1,plays ...
34,34-0,ANONYMIZED_NAME burnt the rice .
34,34-1,ANONYMIZED_NAME liked it though !
35,35-0,Hope I'm Having a girl this time !!!!
36,36-0,anyone know a reputable independant communittie or
36,36-1,thougth of
36,36-2,what i should do ?
37,37-0,"Angle of god , my guardian dear , To whom God's love commits me here ,"
37,37-1,\nEver this day be at
37,37-2,"my side , To light and guard , to rule and guide ."
37,37-3,\nAmen .
38,38-0,Getting over
38,38-1,painful experience is much Like
38,38-2,crossiiing monkey bars .
38,38-3,you have to
38,38-4,let go at
38,38-5,some point in order to move forward .
38,38-6,""""
38,38-7,:) --
38,38-8,TARAAAAAYYY !
38,38-9,""""
39,39-0,not to sure if i like facebook
40,40-0,About to go run on
40,40-1,this beautiful day then working with the tiny babies tonight
40,40-2,:)
41,41-0,"Okay , now the dog is bugging out ."
41,41-1,He must be bored as
41,41-2,hell cuz now he's playing fetch wit a shitty diaper .
41,41-3,LMAO What happened to the stick ?!
42,42-0,"Had Greek food today ,"
42,42-1,it was great
43,43-0,is watching her husband zoom pass the window on a small pink quad bike
44,44-0,Actually getting engineering ..
45,45-0,hey i got accepted into edinboro ...
45,45-1,it is awwssoommee !!!!
45,45-2,im excited
46,46-0,is excited to
46,46-1,"get away for the weekend with ANONYMIZED_NAME , ANONYMIZED_NAME ANONYMIZED_NAME , ANONYMIZED_NAME , and ANONYMIZED_NAME ANONYMIZED_NAME ."
47,47-0,is annoyed at
47,47-1,her stupid neighbors for practicing piano @
47,47-2,10 o'clock!!! go 2
47,47-3,sleep u freaks !
48,48-0,My band just put up some demos of
48,48-1,some of our songs so im really exited .
48,48-2,The ony thing is its just guitar cuz
48,48-3,i have like
48,48-4,20 hours of school and 50 hours of hw and now i get to
48,48-5,go to work yay !
49,49-0,that damn sad cows won't go away !!!
50,50-0,Non-dairy creamer is flammable .
51,51-0,Game at 3 a clock tommorow have to
51,51-1,be there at 830 because of brothers game
51,51-2,:[
52,52-0,is starting to
52,52-1,get obsessed with heavy metal concerts .
53,53-0,had a blast at ANONYMIZED_NAME ANONYMIZED_NAME ANONYMIZED_NAME !
54,54-0,Has decided that
54,54-1,her new friend has it out for her .
54,54-2,I think she wants to
54,54-3,kill me !!
55,55-0,well yay stupid at&t broke my internet
55,55-1,=/
56,56-0,knows I've done well when
56,56-1,I terrify people on my husband's page .....
56,56-2,I will sleep well tonight
56,56-3,:)
57,57-0,is thankful for all the birthday love .
57,57-1,30 has been pretty good to me .
57,57-2,I had agreat b-day !
58,58-0,"Well , today was a pretty crappy day at school ."
58,58-1,But then I shared some laughs with my best friend .
58,58-2,:D
59,59-0,wondering which of
59,59-1,the 4 movies I hire to
59,59-2,watch first\n1 .
59,59-3,The New Daughter ( Thriller ) - Kevin Costner\n2 .
59,59-4,Crazy Heart ( Drama ) - Jeff Bridges & Maggie Gyllenhaal\n3 .
59,59-5,The Bounty Hunter ( Action ) - Jennifer Aniston & Gerard Butler\n4 .
59,59-6,Cirque Du Freak : The Vamipire's Assistant ( Family ) - Willem Dafoe & Salma Hayek
60,60-0,done with everyones games !!!!!!!!
61,61-0,i feel invisibe .
61,61-1,ugh fml !
62,62-0,had an usual day and night with ANONYMIZED_NAME
63,63-0,I had a great day with ANONYMIZED_NAME and family today !
64,64-0,ANONYMIZED_NAME on a bike ...
64,64-1,when will this cold go away ?!?!
65,65-0,is addicted to Dragon Age .
66,66-0,"on 2nd july , 2009 ..."
66,66-1,gayism was legalised by HC ...
66,66-2,was it intended 2
66,66-3,b ma b'day present frm HC ...
66,66-4,gosh ..
66,66-5,it took me sooo long 2
66,66-6,realize dis ..
66,66-7,:P
67,67-0,"OMG , I was just singing along to Taylor Swift ."
67,67-1,What is WRONG with me ?!?!
68,68-0,College Night is Tonight @ ANONYMIZED_NAME !!
68,68-1,$1 kamikazes and $2 well !!
68,68-2,Plus live performances from ANONYMIZED_NAME !!
68,68-3,Let's get crazy !!
69,69-0,Experience is simply the name we give our mistakes .
70,70-0,wishes she was going to North Carolina with her gorgeous sisters ANONYMIZED_NAME ANONYMIZED_NAME and ANONYMIZED_NAME ANONYMIZED_NAME .
71,71-0,Tengen Toppa Gurren Lagann ...
71,71-1,it will make any day better
72,72-0,ANONYMIZED_NAME ANONYMIZED_NAME of ANONYMIZED_NAME radio here in Austin took time out
72,72-1,of his busy schedule to try and
72,72-2,help me find a donor using facebook and the radio .
72,72-3,I think thats bad ass .
72,72-4,"Thanks so much , Dale ."
73,73-0,So that was fun .....
74,74-0,It is for the best consideration of that child .
74,74-1,"If the couple were seperated ,"
74,74-2,then he/she would be saddened that
74,74-3,the father/mother might not be around as much as
74,74-4,they are needed .
74,74-5,This is bad for the child .
74,74-6,"Most of the times when miscarriages are reported ,"
74,74-7,the couples are not married .
74,74-8,"Again this isn't bad ,"
74,74-9,but God has a purpose for
74,74-10,"you in life , and that could be His way of"
74,74-11,telling you to
74,74-12,reconsider your choices .
75,75-0,"haha , im so"
75,75-1,sure this is gunna be a great year !
75,75-2,gunna have FUNN !!!!
76,76-0,I hate getting the stomach flu i would rather
76,76-1,have a severe cold for a week
77,77-0,thank you
78,78-0,"Thanks everyone for the comments and i had a great day today ,"
78,78-1,even though i had to
78,78-2,go to work lol
79,79-0,hates the Lakers .
79,79-1,Hates .
80,80-0,Tupac might be gone bah he will always be alive in
80,80-1,me and everyone out der who has feelins fa G !
80,80-2,"I rest my case ,"
80,80-3,and say that
80,80-4,he was and
80,80-5,still remains a true soldier up der in da ghetto heaven
81,81-0,the boring life is back
81,81-1,:(
81,81-2,...
82,82-0,ok this is big for mi .
82,82-1,its been one week since
82,82-2,i smoked a cig .
82,82-3,im so happy for myself .
82,82-4,plus i walked 2 miles today .
82,82-5,gotta walk 2 more tonite
83,83-0,"Okey dokey , time to scan this newspaper of mine ..."
84,84-0,sometimes people put up walls
85,85-0,Happy thanksgiving to all my fb friends and family !
86,86-0,Was doing course evaluations for
86,86-1,"MedSoc and came up the question Instructor maintained positive environment in class "" - very nice timing for the video """
87,87-0,"Nevr criticize ur bf's faults ,"
87,87-1,rembr it may hv been these litle imperfections dat stoped him frm
87,87-2,geting a beter gf ....
88,88-0,Just wanna curl up in
88,88-1,a ball to sleep and
88,88-2,hope when
88,88-3,I wake up ill magically feel a hundred percent
89,89-0,flying back to bangkok for a shoot ...
90,90-0,:)
90,90-1,haha thank youss
91,91-0,"ANONYMIZED_NAME's broke her leg ,"
91,91-1,oops she won't want to
91,91-2,do that again !!!!!!!!!!
92,92-0,does anyone know the secret to
92,92-1,happiness and peace ? because i sure as hell dont .
93,93-0,what a beautiful tuesday morning ...
93,93-1,y duty ...
93,93-2,weeee
93,93-3,:D
94,94-0,Varsity Athlete
95,95-0,people on my wall if you read this please name your favourite tractor
96,96-0,bed time nite world
97,97-0,hey ...
97,97-1,mga mai farmville jan add neo ko neighbor ..
97,97-2,gift ko nrin ..
97,97-3,thnkx el .
97,97-4,xthufida
98,98-0,JUST GOT LAID OFF AND
98,98-1,NEED TO
98,98-2,FIND SOME WORK ; WHAT A NEW YEAR
99,99-0,"If you dont like the new FB ,"
99,99-1,here is how you can change it back to the old .
99,99-2,Look to
99,99-3,the top left menu and click on MORE .
99,99-4,Then drag STATUS UPDATES to the top .
99,99-5,After dragging to
99,99-6,"top , click on it ."
99,99-7,That becomes your default and
99,99-8,it is like before .
99,99-9,Pass it on
100,100-0,"Thanx everyone , rite now i'm with ANONYMIZED_NAME ANONYMIZED_NAME , ANONYMIZED_NAME , and ANONYMIZED_NAME"
101,101-0,Thanks for all the happy birthdays !!!!!!!!!
101,101-1,:)
102,102-0,Is there some kind of
102,102-1,"tutorial for Facebook ? If so , will someone please send it to"
102,102-2,my Grandma ? She needs a little extra help .
102,102-3,"( Just kidding ,"
102,102-4,g-ma-Chris and I will keep helping you .
102,102-5,)
103,103-0,"ever learn something you really wish you didnt , nvm"
104,104-0,.
104,104-1,You think the only people who are people are the people who look and
104,104-2,think like you .
105,105-0,SICK AGAIN !!!!
105,105-1,HATE IT !!!!!
106,106-0,thanks for all the birthday wishes yall !!......
106,106-1,srry im alil late on the thank u's!
107,107-0,Bmx starts next week .
108,108-0,Its finally FRIDAY !!!!!!!
109,109-0,I DID NOT WANT SNOW AS A BIRTHDAY GIFT TODAY ......
109,109-1,I WANTED A PONY ......
110,110-0,what kind of bees make milk ...
111,111-0,homework SUX !!!!
111,111-1,WHY DO TEACHERS TOURCHER US THIS WAY ?!?!?!?!?!?!
112,112-0,Through god all things are possible ........
112,112-1,yet our greatest treasure .......
112,112-2,most turn away .......
112,112-3,they turn away gods love .......
112,112-4,i say that
112,112-5,we have a purpose and
112,112-6,that through god we can accomplish it ...........
112,112-7,dont turn away from the savior ........
112,112-8,he will make like good .......
112,112-9,peaceful .........
112,112-10,as the world hated him they will hate us as christains ..........
112,112-11,i speak for
112,112-12,my self that when he calls my name
113,113-0,I NEED A JOB !!!!
113,113-1,anyone know of anything ?
114,114-0,Zzz ...
114,114-1,SOOOOOO tired ...
114,114-2,Having 3 camps in 1 week ...
114,114-3,I think no need to workout liao ...
115,115-0,i really need a house cleaner this is a disaster !!!!!!!!!
116,116-0,falling asleep to my country music
116,116-1,<3
116,116-2,good night !
117,117-0,All night with ANONYMIZED_NAME and ANONYMIZED_NAME at ANONYMIZED_NAME's to see Combichrist .
117,117-1,FUCK I LOVED THE SHOW .
117,117-2,Absolutely need to
117,117-3,pass out ; long work week + six hour concert = TIRED AS SHIT
118,118-0,manu sailing smoothly
118,118-1,:)
119,119-0,"hot , scared , nd a lil sweaty ."
119,119-1,all in all it was a good day .
120,120-0,"Saturday-work , mani and pedi , long bike ride with ANONYMIZED_NAME-ANONYMIZED_NAME-ANONYMIZED_NAME-ANONYMIZED_NAME-ANONYMIZED_NAME , b-day pary at ANONYMIZED_TIME , b-day party at ANONYMIZED_TIME ."
120,120-1,So much fun .
120,120-2,"Sunday-Laundry , cleaning ,"
120,120-3,"Colts game , and bike ride ."
120,120-4,What a fun and busy weekend .
121,121-0,"I'm stronger because of my hard times , wiser because of my mistakes , happier because of my sad experiences , and smarter because of my moments of confusion"
122,122-0,i'm happy and sad at the same time ...
122,122-1,di kaya nababaliw na ko ?
122,122-2,^^
123,123-0,don't you hate it when
123,123-1,you want nothing to
123,123-2,do with
123,123-3,someone and they just keep coming back no matter what you do ? It drives me crazy !!
123,123-4,Will they ever get the hint .
124,124-0,hi everyone i have nothing to
124,124-1,say so
124,124-2,i will say hi everyone
125,125-0,is wondering if
125,125-1,I will ever get a job .....
125,125-2,seriously .
126,126-0,I've got a soul that
126,126-1,"cannot sleep "" !"
126,126-2,:D
126,126-3,""""
127,127-0,Tired of ANONYMIZED_NAME ANONYMIZED_NAME saying I look like a asian lol : ' D
128,128-0,"just got home ,"
128,128-1,had a fun time running today
129,129-0,"Success without a positive attitude is called Luck ,"
129,129-1,but Success with positive attitude is called Achievement \nAll we need is positive attitude .
130,130-0,"If you died today ,"
130,130-1,who would be taking care of
130,130-2,the arrangements and would he or
130,130-3,she be paying for it ...
130,130-4,that is what is on my mind .
130,130-5,"Due to my new profession , I am currently welcoming any and"
130,130-6,"all death jokes ( okay , maybe not all , I would rather"
130,130-7,not have my
131,131-0,is bored and
131,131-1,many going to
131,131-2,start her science project
132,132-0,had a great time at the wedding !
132,132-1,"Yankees up 2-0 , big game tonight i'm nervous as hell !"
132,132-2,i wanna spank that damn rally monkey tonight !
133,133-0,can't wait for
133,133-1,thanksgiving and also to see what my daughter thinks of all the lights and decorations of christmas !!
133,133-2,she will also
133,133-3,be 7 months old !!
134,134-0,I am drunk lmao
134,134-1,XD
134,134-2,and Happy almost st Paddy's day in Cali ...
134,134-3,like 12 minutes till then
134,134-4,:P
135,135-0,...
135,135-1,"chocolate peanutbutter ice cream , yes please !! ..."
136,136-0,Man it been a long time since
136,136-1,i posted sum n
136,136-2,on hear but
136,136-3,im to
136,136-4,happy i got two mo weeks before
136,136-5,i welcum my baby gurl n
136,136-6,to dis world im ready n spongebob voice lol
137,137-0,We begin from
137,137-1,the recognition that all beings cherish happiness and
137,137-2,do not want suffering .
137,137-3,It then becomes both morally wrong and
137,137-4,pragmatically unwise to pursue only one's own happiness oblivious to
137,137-5,the feelings and aspirations of all others who surround us as members of the same human family .
137,137-6,The wiser course is to
137,137-7,think of
137,137-8,others when pursuing our own happiness .
138,138-0,yeah
138,138-1,:)
138,138-2,i totally did .
138,138-3,tired of being lonely ...
138,138-4,so very tired
139,139-0,being cooked in this heat
140,140-0,im finally here .
140,140-1,after 5 long days
141,141-0,"Wow , I haven't been on here for a while ."
141,141-1,"Thank you everyone for the Happy B-Day congrates "" ."
141,141-2,^-^
141,141-3,""""
142,142-0,I love this music video !!!
142,142-1,ANONYMIZED_URL
143,143-0,"No work today , Lucky me"
143,143-1,:)
144,144-0,Who Knows Me the best ? \nName : ___________ Age : ________Birthday : ___________Eye color : _________\nNickname : ___________ Favorite color : ___________ Favorite Drink : ________\nMy best friend : ________Post this to
144,144-1,your wall and see who all comments\nand who knows you best
145,145-0,Going to
145,145-1,play football in a little bit !
146,146-0,Bama going to
146,146-1,kick some ass
147,147-0,today is the 12th anniversary of
147,147-1,ANONYMIZED_NAME proposing to me on the beach near san diego ...
147,147-2,:o
147,147-3,) So happy he asked !!
147,147-4,<3
148,148-0,"You make my heart skip beats ,"
148,148-1,you make me nervous before
148,148-2,"I see you ,"
148,148-3,you make me feel so
148,148-4,alive when I'm with
148,148-5,"you , I still get butterflies when"
148,148-6,we kiss and
148,148-7,I love it all .
148,148-8,I love you Lucas
148,148-9,=)
149,149-0,"Day 4 menu : Sausage , egg and CHEESE biscuit , lunch : bacon and CHEESE burger , snack : Hashbrowns with CHEESE ........."
149,149-1,Day 5 idk !
149,149-2,I'm starting to
149,149-3,get the bubble guts .....
149,149-4,my stomach is doing strange stuff .....
149,149-5,lol
150,150-0,Just saw this chinese dude get off the metro with chinese food in his hand ...
150,150-1,and was about to
150,150-2,go make a delivery LMAO ....
150,150-3,he was all in a hurry dwl
151,151-0,"loving myself is simple ,"
151,151-1,but letting someone else
151,151-2,love u is so hard .
152,152-0,"1 final down , 1 to go !"
153,153-0,"back at home , and back to reality ...."
154,154-0,there is a fine thin line between wrong and right .
155,155-0,has anyone taken the history finals ?
156,156-0,Happy Thanksgiving
157,157-0,alexx westerman u have issuse lmao
158,158-0,Al la Bama girls where undeniable dazy dukes bikini on top sunkist skin so hot we will melt your popsicle .
158,158-1,Nothing comes close to
158,158-2,the G-U-L-F coast ( lol this is my version of katy perrys song )
159,159-0,this is how you remind me
160,160-0,down in MD in my sis ..
160,160-1,with a big cockatoo on my hand ..
160,160-2,while typing ..
160,160-3,had a great day with our cousin ..
160,160-4,wish I never had to
160,160-5,go back to
160,160-6,work ..
160,160-7,dreams ..
160,160-8,dreams ..
160,160-9,oh and we got ANONYMIZED_NAME ..
160,160-10,yippe !
161,161-0,drama ...
161,161-1,drama ...
161,161-2,and more drama ....
161,161-3,I am done !
162,162-0,"Ughhh , I wish I could stop coughing already !"
162,162-1,Being sick is horrribllleee .
162,162-2,About to watch some television with
162,162-3,ANONYMIZED_NAME then falll asleeepp .
162,162-4,:)
162,162-5,<3
163,163-0,Ind Vs Srilanka - A Thrilling match in progress ....
163,163-1,India need 65 ..
163,163-2,5 wickets in hand ..
164,164-0,"In the land of the blinds , One eye man is a king ."
165,165-0,had my gps for
165,165-1,less than a day and I already broke it .
165,165-2,Good thing Garmin is nice and
165,165-3,going to
165,165-4,send me a brand new one .
166,166-0,Do you ever feel like
166,166-1,you have a lot of
166,166-2,people in your life but very few who understand you ?
167,167-0,had forgotten how much fun the kids are - especially in PE !
167,167-1,I am exhausted !!
168,168-0,i laugh again why the fuck was i upset in
168,168-1,the first place i wasnt even shocked wow im so over that
168,168-2,:)
168,168-3,i am very happy today it was just ordinary day again
169,169-0,Today has to
169,169-1,be the most boring day of this entire summer hands down .
169,169-2,:/
170,170-0,I'm so
170,170-1,having the case of the Mondays .
170,170-2,5 am is toooo f'in early .
171,171-0,"red , black or hot pink ?"
171,171-1,xox
172,172-0,Time to go shovel the snow .
173,173-0,"It's 4am ,"
173,173-1,I'm been up for
173,173-2,more than 24hrs and I still can't sleep
173,173-3,:(
173,173-4,Insomnia sucks .
174,174-0,Wow the AFC SUCKS PROBOWL SUCKS THIS YEAR
175,175-0,Relationships are like glass .
175,175-1,Sometimes it is better to
175,175-2,leave them broken than
175,175-3,try to
175,175-4,hurt yourself putting it back together ......
175,175-5,:)
176,176-0,It's all gone !
176,176-1,\n
176,176-2,:-{
177,177-0,uhhh !
177,177-1,this homework !
177,177-2,its killing me .
178,178-0,Thanks so much for the birthday wishes everyone !!
179,179-0,"I am perfectly imperfect , beautiful in my flaws , sure of my insecurities , absolute chaos .."
179,179-1,a beautiful disaster
180,180-0,of course not !
180,180-1,youre brain washed !
181,181-0,school is so
181,181-1,boring is it to
181,181-2,early to want it to
181,181-3,be spring break
182,182-0,Miss ANONYMIZED_NAME ( as I hand out the new spelling lists ):
182,182-1,Don't lose your spelling lists because
182,182-2,there are no more copies of these bad boys .
182,182-3,""" Class ( whispers and"
182,182-4,head bobbing ):
182,182-5,""" Bad boys"
183,183-0,I'd very much like some peach pie or peach cheesecake right now .
183,183-1,Somebody make this happen plz .
184,184-0,I really wanted chicken and brown beans .
185,185-0,Common tests are 0000vvverrrrrrrr
185,185-1,:DDDDDDD
186,186-0,Almost feeling better !!
186,186-1,damit hurry up already with this cold !!!
186,186-2,so I can drink this weekend !!
187,187-0,Examining oral cavity anatomy tomorrow ( only after
187,187-1,cutting a head in half ) .
187,187-2,Bring it on !
188,188-0,thinking about
188,188-1,going blonde ..
188,188-2,hmm needs a bloody job
189,189-0,Eating with the famz ...
190,190-0,Thanks for all the birthday wishes .
190,190-1,It was a great one .
191,191-0,Gonna clean out my car today ...
191,191-1,maybe they will take it as a trade in later this week ..
191,191-2,maybe not
192,192-0,in brawl the two excuses my brother uses after
192,192-1,"he loses is im not even trying "" and"
192,192-2,""" you got lucky "" ."
192,192-3,""""
193,193-0,3hrs 2 go n then
193,193-1,im 14
194,194-0,think am falling in love with Mauritius ...
194,194-1,and its cultural diversity ..
195,195-0,Thanks for all my birthday messages .
195,195-1,Im pretty bummed out that
195,195-2,I'm closer to
195,195-3,30 than I am 20 .
195,195-4,I shall try to
195,195-5,rid myself of
195,195-6,that thought by
195,195-7,drinking my body weight in frozen margeritas .....
195,195-8,and thats a lot of margaritas !
196,196-0,is looking forward to great weather & some waves for wednesday
197,197-0,"when you got nothin ' ,"
197,197-1,you got nothin ' to
197,197-2,lose .
198,198-0,why do ppl continue to
198,198-1,complain about
198,198-2,situations that they created themselves ...
198,198-3,u chose to
198,198-4,be with
198,198-5,this man/woman and u chose to
198,198-6,have children so deal with the consequences
199,199-0,Checking my salad for messages
200,200-0,SOUTHERN HOSPITALITY !
200,200-1,AIN'T NOTHING LIKE IT !
200,200-2,EXCEPT NO SUBSTITUTES !
200,200-3,LIVE AND
200,200-4,LOVE IT !
201,201-0,is doing great ....
201,201-1,lol .
201,201-2,If I had learned this stuff when
201,201-3,I was supposed to
201,201-4,I guess I wouldn't have to
201,201-5,cram right now .
201,201-6,Oh well .
201,201-7,There's always next year ...
201,201-8,or grade 12 .
202,202-0,"hey guys , just got bak on my first day of skiin"
203,203-0,would love to
203,203-1,go back to bed .
204,204-0,i'm gonna stick through
204,204-1,"all my plans for now on , nothing and no body is gonna keep me away from"
204,204-2,thats !!
205,205-0,just got my phone set up 4 facebook yay !
205,205-1,\\n\\n
206,206-0,Huge news guys !!!
206,206-1,Unfreakinbelievable ....
206,206-2,I am having twins !!!
206,206-3,Where the hell did these come from ?!
206,206-4,friends !
206,206-5,Help !
206,206-6,"Soooool , Jeniang !!!"
206,206-7,Help !!!
207,207-0,Happy 4Th of July !
207,207-1,See you girls tomorrow !
207,207-2,xo
208,208-0,Is in a slipknot mood
208,208-1,>:o
209,209-0,Watched the new harry potter movie tonight .
209,209-1,"It was pretty cool ,"
209,209-2,now i'm just waiting on the next one
209,209-3,:(
209,209-4,\n\nGood news is the previews showed some really awesome movies coming up .
209,209-5,"Got The Green Latern ,"
209,209-6,"the Green Hornet , and Tron all look friggin awesome ."
210,210-0,just spent her day at the beach
210,210-1,(:
211,211-0,The furnace is on the blink . . .
211,211-1,hoorayÇ¢_ Maybe I can get ANONYMIZED_NAME and ANONYMIZED_NAME furnace maintenance for Christmas .
212,212-0,Did you know that
212,212-1,you can make scrambled egg in the microwave ? Bachelor tip #77 .
213,213-0,"hidup spanyol , juara world cup 2010"
214,214-0,What do you know ? The first post I see on
214,214-1,MLIA is about Harry Potter .
214,214-2,MLIA .
215,215-0,...
215,215-1,I'll chase you thru the house and all thru the yard
216,216-0,"If the answer lies within , then why is there confusion ? Are we blinded , deaf , or just ignorant to the inner voice ?"
217,217-0,Thank you all who wished me a Happy Birthday ..
217,217-1,Definatly had a good one to
217,217-2,jump start the year just right !
217,217-3,Hope everyone had a Bangin ' New Year and
217,217-4,God bless all
218,218-0,I have really found it difficult sometimes to
218,218-1,be the person that
218,218-2,GOD wants me to
218,218-3,become .
218,218-4,Its a shame that
218,218-5,the people who should be supportive are the ones who try their best to
218,218-6,tear you down .
218,218-7,I changed me to
218,218-8,make other people feel better when
218,218-9,it was never about them .
218,218-10,Always remember that when
218,218-11,dealing with
218,218-12,"GOD , OBEDIENCE IS BETTER THAN SACRIFICE !!! """""
219,219-0,The wind of evolution is blowing hard .
219,219-1,Man must adapt to
219,219-2,the inevitable change and adjust his unnecessary desires
220,220-0,you played me till
220,220-1,"i left ,"
220,220-2,now theirs nobody left to
220,220-3,hear your complaining --
220,220-4,im gone .
220,220-5,"and all your hearing is your own damn echoes ,"
220,220-6,and im gone and
220,220-7,your all alone hearin your own damn echoes .
220,220-8,disgusted with
220,220-9,"trust , ill trust no one no more ."
220,220-10,just went with
220,220-11,"the flo , found myself on the floor ."
221,221-0,Mother Earth ..
221,221-1,in the Black Symphony album is epic ...
221,221-2,and
221,221-3,x.x
221,221-4,German tutorial then food festival ? blech ..
221,221-5,* dies inside *
222,222-0,I offically hate my brother .........
222,222-1,Spartacus Blood and Sand .
222,222-2,Incrediable
223,223-0,got my learners permit thursday .
223,223-1,ha i forgot to
223,223-2,post it then
223,223-3,x
223,223-4,] its totally sweet .
223,223-5,i cant wait until
223,223-6,my mom puts me on
223,223-7,her insurence so i can drive all around ANONYMIZED_LOCATION !
224,224-0,LIFE HAS NEVER BEEN BETTER !!!!!!!
225,225-0,lost his damn phone ...
226,226-0,Its easy 2
226,226-1,"obtain it all ,"
226,226-2,but y its so
226,226-3,"hard 2 maintain it all ,,,,,"
226,226-4,smh
227,227-0,jlweagfnakwelak4hyjihj3035iy2ow4hj3jyhu2jy2jioagkdavbnjhn hq Why is everyone so
227,227-1,obsessed with
227,227-2,how much wood a woodchuck could chuck ? [/color ]
228,228-0,"ITS HIGH TIME I ADDED PPL I WANT TO , TO MY FRIEND LIST ."
229,229-0,Alright long day at school !!
229,229-1,Now its time to
229,229-2,run jum hurdle and
229,229-3,climb !!
229,229-4,Goddamn I love Parkour !!
230,230-0,just found out the worst news ever so whatever
231,231-0,"Glad to see everyone is finding their families "" ."
231,231-1,""""
